130		A1KB3HD0R4QRVZ		5		1		1		0,1		s2_c01_v01_e05		167.955		overlap tomatoes====Overlap tomatoes
131		A1PEIAZGS7C9DH		5		0		0		0,1		s2_c01_v01_e05		167.955		overlap tomatoes====Overlap tomatoes
132		AI9WYG457WDW2		5		noop		noop		0,1		s2_c01_v01_e05		167.955		overlap tomatoes====Overlap tomatoes
133		A2MV2H042RJ8TY		6		1		1		1,0,2		s2_c01_v01_e06		179.89		Add mozzarella cheese====Add Mozzarella====Add mozzarella to create an even circle 
134		A1KB3HD0R4QRVZ		6		0		0		0,1,2		s2_c01_v01_e06		179.89		Add mozzarella cheese====Add Mozzarella====Add mozzarella to create an even circle 
135		AG27GNED8RGXZ		6		0		0		0,1,2		s2_c01_v01_e06		179.89		Add mozzarella cheese====Add Mozzarella====Add mozzarella to create an even circle 
136		A1KB3HD0R4QRVZ		7		0		0		1,0,2		s2_c01_v01_e07		186.613333333		in a nice circle evenly around it====Add the cheese in a circle ====very very nice
137		A2MV2H042RJ8TY		7		1		1		0,1,2		s2_c01_v01_e07		186.613333333		in a nice circle evenly around it====Add the cheese in a circle ====very very nice
138		A2Y5A2VKUNMAR2		7		0		0		2,0,1		s2_c01_v01_e07		186.613333333		in a nice circle evenly around it====Add the cheese in a circle ====very very nice
139		A1PYMROZ75S4FW		8		0		0		0,1		s2_c01_v01_e08		237.29		pizza in oven====take pizza out of the oven
140		A111JI6APXR6QV		8		1		1		0,1		s2_c01_v01_e08		237.29		pizza in oven====take pizza out of the oven
141		A2MV2H042RJ8TY		8		1		1		0,1		s2_c01_v01_e08		237.29		pizza in oven====take pizza out of the oven
142		A2IZ21VPUWDNM2		9		noop		noop		0,1,2,3		s2_c01_v01_e09		55.3875		Be careful when slicing mozzerella====Slice the mozzarella====or you wont get these nice====Be careful when slicing
143		A1P9C5ONJMV6UV		9		0		0		0,1,2,3		s2_c01_v01_e09		55.3875		Be careful when slicing mozzerella====Slice the mozzarella====or you wont get these nice====Be careful when slicing
144		A1RAIFJ6CDVX3W		9		@		hi iam		0,2,3,1		s2_c01_v01_e09		55.3875		Be careful when slicing mozzerella====Slice the mozzarella====or you wont get these nice====Be careful when slicing
145		A1KB3HD0R4QRVZ		10		2		2		0,1,2		s2_c01_v01_e10		80.42		Add the sauce====alright so now we====Add sauce to pizza crust
146		A1PYMROZ75S4FW		10		2		2		1,0,2		s2_c01_v01_e10		80.42		Add the sauce====alright so now we====Add sauce to pizza crust
147		A111JI6APXR6QV		10		2		2		2,1,0		s2_c01_v01_e10		80.42		Add the sauce====alright so now we====Add sauce to pizza crust
148		A1KB3HD0R4QRVZ		11		1		1		1,0		s2_c01_v01_e11		131.82		Evenly lay tomatoes onto the crust and sauce====put tomato pieces
149		AI9WYG457WDW2		11		noop		noop		1,0		s2_c01_v01_e11		131.82		Evenly lay tomatoes onto the crust and sauce====put tomato pieces
150		A2MV2H042RJ8TY		11		1		1		1,0		s2_c01_v01_e11		131.82		Evenly lay tomatoes onto the crust and sauce====put tomato pieces
151		A3RGYT0JTEHAOK		12		0		0		2,1,0		s2_c01_v01_e12		39.0466666667		Slice the fresh mozzarella====Slice fresh mozzarella====slice the fresh mozzerella
152		A1PYMROZ75S4FW		12		0		0		0,1,2		s2_c01_v01_e12		39.0466666667		Slice the fresh mozzarella====Slice fresh mozzarella====slice the fresh mozzerella
153		AI9WYG457WDW2		12		noop		noop		1,2,0		s2_c01_v01_e12		39.0466666667		Slice the fresh mozzarella====Slice fresh mozzarella====slice the fresh mozzerella
154		A2MV2H042RJ8TY		13		1		1		1,0,2		s2_c01_v01_e13		94.8366666667		Spread sauce around top of crust====Spread sauce around====put that on there and you
155		A2VQ46CXQ4RZGI		13		2		2		0,2,1		s2_c01_v01_e13		94.8366666667		Spread sauce around top of crust====Spread sauce around====put that on there and you
