93		A3MLRH6BKWKP7M		93		2		2		2,0,1,3,4		s2_c02_v01_e08		1 TSP OF SALT====Add 1 tsp salt====let simmer on medium low for eight minutes====Reduce heat to med-low.====reduce heat
94		A16D2GVNFHEB9V		94		1		1		0,1,2		s2_c02_v01_e10		Stir often====grate your cheese====Stir often
95		A2O4KD35UJZ3SS		95		1		1		0,1		s2_c02_v01_e11		Grate cheese====Grate three cups of cheese
96		AVHG2CA7ORMX5		96		1		1		2,1,0		s2_c02_v01_e12		melt butter====Melt butter in saucepan on medium heat====and medium heat
97		A166A2M31CW2C7		97		1		1		1,0		s2_c02_v01_e13		add flour and whisk together====When butter ""sings"" add flour
98		A3N6RZCJCAO23K		98		1		1		0,1		s2_c02_v01_e14		Go to website for ingredient list====Go to the site and get the ingredients
99		A2Y5A2VKUNMAR2		99		1		1		1,0		s2_c02_v01_e17		You can use less elbow macaroni if you want the dish to be cheesier====Add 16 oz Macaroni to boiling water
100		A3AJR1PM02424Y		100		0		0		1,0		s2_c02_v01_e18		Pour in cheese sauce====Mix well to distribute the cheese sauce into the elbow macaroni
101		A32ZOUVKLUA6O9		101		0		0		1,0		s2_c02_v01_e19		Mix to distribute the cheese sauce evenly throughout the pasta====added macron
102		A3LH9KGQ3VWY9S		102		1		1		1,0		s2_c02_v01_e21		Sprinkle on the rest of the cheese====Stir and add more cheese
103		AN4NEBI7QWSNO		103		0		0		0,1		s2_c02_v01_e23		Dump well drained pasta into a casserole dish and pour your cheese sauce on top====Drain pasta
104		ABSP6FBNTBJNN		104		0		0		1,0,2		s2_c02_v01_e25		Cook for one more minute====pour in one cup of milk====ADD CUP OF MILK
105		A3E3QXLHXAGY4Y		105		@		whisk it in very quickly		0,1		s2_c02_v01_e27		Whisk milk in quickly====whisk milk in quickly
106		A3E3QXLHXAGY4Y		106		2		2		2,0,1		s2_c02_v01_e28		Add two more cups of milk====Add 2 C milk====ADD BASIC WHITE SAUCE
107		A163MRYD9B6X8O		107		1		1		0,1		s2_c02_v01_e29		Turn to medium heat and bring to a simmer====Bring to simmer on medium heat
108		A32ZOUVKLUA6O9		108		1		1		0,1,2		s2_c02_v01_e30		while coming up to a simmer grate in nutmeg====Grate in fresh nutmeg====ADD FRESH NUT
109		A18ETOFIARDVP9		109		0		0		0,1		s2_c02_v01_e31		Remove from oven after cooking for 20 minutes====watch it. when brown take it out
110		AN4NEBI7QWSNO		110		1		1		0,1		s2_c02_v01_e32		Let the macaroni and cheese cool====let cool just a little
111		A1RUUT6L07VW6P		111		1		1		1,0		s2_c02_v01_e34		mix it up====Sprinkle the butter and breadcrumb mixture over the macaroni
112		A2EIAPNXHBE80M		112		3		3		3,2,0,1		s2_c02_v01_e35		Sprinkle breadcrumb and butter mixture on top of the macaroni and cheese====added cheese ====Mix 1 tablespoon butter with 1/2 Cup Panko Bread Crumbs====put it on top
113		A1RAIFJ6CDVX3W		113		0		0		0,1		s2_c02_v01_e36		get the best crust ever====Put into a 400 degree Farenheit oven
114		A32ZOUVKLUA6O9		114		0		0		0,1		s2_c02_v01_e37		put in oven at 400 degerees====bake at 400 degree F
115		A3GXLU4REAMUFX		115		1		1		0,1		s2_c02_v01_e38		about 20 minutes====bake for 20 minutes
116		A3AJR1PM02424Y		116		2		2		2,1,0		s2_c02_v01_e39		Turn off heat.====Turn off the heat====turn off the heat
117		AVHG2CA7ORMX5		117		0		0		0,1		s2_c02_v01_e40		Add your cheese saving three-quarters of a cup====add cheese
118		A3GXLU4REAMUFX		118		@		call for 8 ounces of pasta		0,1		s2_c02_v01_e43		Boil pasta in salted water====rich and gooey 8 ounces 
